Timestamp,Age ,Gender,Current State or Union Territory,City,Which Tier does your city belong to?,Marital Status,What is your financial status?,"Say for example , a similar product with similar features is being sold at half the price by an unknown seller as compared to a branded product. Would you purchase that product? or Simply Do you prefer cost over brands?",What is the Product Category that you shop very frequently?,How much time do you spend while picking the right product to buy?,"On a scale of 1 to 5 , how often do you shop in the selected product category monthly? ",What is the average money that you spend while shopping the above items in one time?,Which product among Electronics do you shop very often?,Which product among Fashion do you shop very often?,Which product among Clothing do you shop very often?,Which OTT subscriptions do you use the most?,Which type of Books do you buy the most?
6/13/2021 19:31:43,20,Female,Goa,,Tier 2,Not Married,Student,Yes,Electronics,Couple of Weeks,2,Between ₹1000-₹5000,Headphones / Earphones,,,,
6/13/2021 19:33:16,25,Female,Bihar,Patna,Tier 2,Not Married,Regular Job,No,Clothing,Within a day,1,Greater than ₹5000,,,Shoes,,
6/13/2021 19:34:41,19,Female,Punjab,Patiala,Tier 3,Not Married,Student,Yes,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Less than hour,3,Between ₹1000-₹5000,,,,Amazon Prime,
6/13/2021 19:36:18,16,Male,Haryana,Gurgaon,Tier 2,Not Married,Student,Yes,"Fashion ( Makeup, cosmetics, Perfume etc )",Couple of Weeks,1,Less Than ₹1000,,Perfumes,,,
6/13/2021 19:37:15,27,Female,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,No,"Fashion ( Makeup, cosmetics, Perfume etc )",Couple of Weeks,1,Greater than ₹5000,,Purses / Bags,,,
6/14/2021 0:08:42,41,Male,Haryana,Kurukshetra,Tier 3,Not Married,Regular Job,No,Books,An entire month,1,Between ₹1000-₹5000,,,,,Finance 
6/14/2021 0:09:21,19,Female,Maharashtra,Pune,Tier 1,Not Married,Student,Yes,Clothing,Couple of Weeks,4,Greater than ₹5000,,,Shoes,,
6/14/2021 0:10:10,23,Male,Telangana,Hyderabad,Tier 1,Not Married,Student,Maybe,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Within a day,4,Less Than ₹1000,,,,Amazon Prime,
6/14/2021 0:10:58,43,Female,Punjab,Amritsar,Tier 2,Married,Housewife,Yes,"Fashion ( Makeup, cosmetics, Perfume etc )",Couple of Weeks,3,Less Than ₹1000,,Cosmetics,,,
6/14/2021 0:11:50,26,Female,Karnataka,Mumbai,Tier 1,Not Married,Regular Job,No,"Fashion ( Makeup, cosmetics, Perfume etc )",Couple of Weeks,2,Greater than ₹5000,,Purses / Bags,,,
6/14/2021 0:12:36,28,Male,Karnataka,Bangalore,Tier 1,Not Married,Regular Job,No,Clothing,Couple of Weeks,3,Greater than ₹5000,,,Shoes,,
6/14/2021 0:14:02,19,Female,Punjab,Ludhiana,Tier 2,Not Married,Student,No,Books,An entire month,5,Less Than ₹1000,,,,,Romance
6/14/2021 0:14:57,22,Male,Assam,Guwahati,Tier 2,Not Married,Student,Yes,Clothing,Within a day,4,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 0:16:10,55,Female,Haryana,Rohtak,Tier 3,Married,Housewife,Yes,Clothing,Couple of Weeks,2,Less Than ₹1000,,,Shoes,,
6/14/2021 0:16:58,22,Male,Gujarat,Rajkot ,Tier 2,Not Married,Student,Yes,Electronics,Couple of Weeks,3,Less Than ₹1000,Headphones / Earphones,,,,
6/14/2021 0:17:58,20,Female,Rajasthan,Ajmer,Tier 2,Not Married,Student,No,"Fashion ( Makeup, cosmetics, Perfume etc )",Within a day,5,Between ₹1000-₹5000,,Perfumes,,,
6/14/2021 12:22:32,25,Male,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,Maybe,Electronics,Couple of Weeks,2,Greater than ₹5000,"Utility Devices ( like pen drive , cables etc )",,,,
6/14/2021 12:23:51,26,Male,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,Maybe,Clothing,Within a day,4,Between ₹1000-₹5000,,,Shoes,,
6/14/2021 12:25:03,25,Male,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,Maybe,Electronics,An entire month,2,Between ₹1000-₹5000,Headphones / Earphones,,,,
6/14/2021 12:25:47,23,Female,Uttar Pradesh,Lucknow,Tier 2,Not Married,Regular Job,Yes,Clothing,Couple of Weeks,3,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 12:26:52,23,Female,Uttar Pradesh,Greater noida ,Tier 1,Not Married,Student,Maybe,"Fashion ( Makeup, cosmetics, Perfume etc )",Less than hour,3,Less Than ₹1000,,Cosmetics,,,
6/14/2021 12:27:05,24,Male,Maharashtra,Thane,Tier 2,Not Married,Regular Job,No,Electronics,Less than hour,3,Greater than ₹5000,Speakers,,,,
6/14/2021 12:48:38,21,Male,Delhi,New Delhi,Tier 1,Not Married,Student,No,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Within a day,3,Less Than ₹1000,,,,Netflix,
6/14/2021 13:08:59,25,Female,Rajasthan,Jaipur,Tier 3,Not Married,Regular Job,No,Clothing,Within a day,1,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 13:56:24,26,Female,Madhya Pradesh,Bhopal,Tier 2,Not Married,Regular Job,Maybe,Clothing,Couple of Weeks,2,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 14:02:52,24,Male,Bihar,Patna,Tier 2,Not Married,Regular Job,No,Electronics,Within a day,1,Between ₹1000-₹5000,Headphones / Earphones,,,,
6/14/2021 14:56:28,23,Female,Delhi,,Tier 1,Not Married,Regular Job,Yes,Clothing,Within a day,1,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 16:24:38,24,Male,Maharashtra,Mumbai,Tier 1,Not Married,Student,Yes,Electronics,Within a day,4,Between ₹1000-₹5000,Speakers,,,,
6/14/2021 16:28:06,24,Female,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,Maybe,Books,Within a day,1,Less Than ₹1000,,,,,Fiction
6/14/2021 18:18:15,25,Male,Maharashtra,Pune,Tier 1,Not Married,Regular Job,Yes,"Fashion ( Makeup, cosmetics, Perfume etc )",Couple of Weeks,1,Between ₹1000-₹5000,,Wrist Watch,,,
6/14/2021 18:19:47,30,Male,Haryana,Ambala,Tier 3,Married,Freelancing,Yes,Clothing,Within a day,4,Less Than ₹1000,,,Shoes,,
6/14/2021 18:21:36,23,Female,Uttar Pradesh,Aligarh,Tier 2,Not Married,Student,Yes,Electronics,An entire month,1,Greater than ₹5000,Headphones / Earphones,,,,
6/14/2021 18:21:41,54,Male,Uttar Pradesh,Lucknow,Tier 2,Married,Regular Job,No,Clothing,Within a day,4,Greater than ₹5000,,,T-shirts / Shirts,,
6/14/2021 18:22:56,19,Male,Rajasthan,Agra,Tier 2,Not Married,Student,Maybe,Books,An entire month,3,Less Than ₹1000,,,,,Romance
6/14/2021 18:24:41,28,Male,Maharashtra,Bhiwandi,Tier 2,Not Married,Regular Job,No,Clothing,Within a day,2,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 18:27:03,48,Female,Jammu and Kashmir,Jammu,Tier 2,Not Married,Housewife,Yes,"Fashion ( Makeup, cosmetics, Perfume etc )",Within a day,4,Less Than ₹1000,,Cosmetics,,,
6/14/2021 18:27:44,22,Male,Haryana,Karnal,Tier 3,Not Married,Student,Yes,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Within a day,5,Between ₹1000-₹5000,,,,Amazon Prime,
6/14/2021 18:29:39,25,Male,West Bengal,Kolkata,Tier 1,Not Married,Regular Job,No,Clothing,Couple of Weeks,4,Greater than ₹5000,,,Shoes,,
6/14/2021 18:30:54,51,Male,Delhi,,Tier 1,Married,Regular Job,No,Books,An entire month,3,Less Than ₹1000,,,,,Knowledge
6/14/2021 18:31:03,24,Female,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,Yes,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Couple of Weeks,3,Between ₹1000-₹5000,,,,Netflix,
6/14/2021 18:32:15,23,Female,Punjab,Jalandar,Tier 2,Married,Housewife,No,Clothing,An entire month,3,Greater than ₹5000,,,Dresses,,
