Timestamp,Age ,Gender,Current State or Union Territory,City,Which Tier does your city belong to?,Marital Status,What is your financial status?,"Say for example , a similar product with similar features is being sold at half the price by an unknown seller as compared to a branded product. Would you purchase that product? or Simply Do you prefer cost over brands?",What is the Product Category that you shop very frequently?,How much time do you spend while picking the right product to buy?,"On a scale of 1 to 5 , how often do you shop in the selected product category monthly? ",What is the average money that you spend while shopping the above items in one time?,Which product among Electronics do you shop very often?,Which product among Fashion do you shop very often?,Which product among Clothing do you shop very often?,Which OTT subscriptions do you use the most?,Which type of Books do you buy the most?
6/15/2021 21:16:01,54,Male,Maharashtra,Mumbai ,Tier 1,Married,Freelancing,No,Electronics,Within a day,2,Less Than ₹1000,Headphones / Earphones,,,,
6/15/2021 21:16:14,37,Male,Bihar,Patna,Tier 2,Married,Regular Job,No,Clothing,Within a day,2,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 21:16:17,53,Male,Delhi,Vasant kunj ,Tier 1,Married,Regular Job,No,Daily use items ,Within a day,3,Between ₹1000-₹5000,,,,,
6/15/2021 21:16:20,24,Male,Uttar Pradesh,Lucknow,Tier 2,Not Married,Student,Maybe,Clothing,Within a day,4,Greater than ₹5000,,,T-shirts / Shirts,,
6/15/2021 21:16:31,53,Male,Tripura,Agartala,Tier 3,Married,Regular Job,No,Electronics,Within a day,1,Between ₹1000-₹5000,"Utility Devices ( like pen drive , cables etc )",,,,
6/15/2021 21:16:52,53,Male,West Bengal,Hooghly ,Tier 2,Married,Regular Job,Yes,Clothing,Within a day,3,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 21:16:53,50,Male,Uttar Pradesh,Noida,Tier 2,Married,Regular Job,Maybe,Electronics,Less than hour,2,Between ₹1000-₹5000,Headphones / Earphones,,,,
6/15/2021 21:17:55,55 years,Male,Uttar Pradesh,GREATER NOIDA,Tier 2,Married,Regular Job,Maybe,Clothing,Within a day,3,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 21:19:41,52,Male,Haryana,Panipat,Tier 2,Married,Regular Job,Maybe,Clothing,Within a day,1,Between ₹1000-₹5000,,,Lower,,
6/15/2021 21:21:14,54,Male,Haryana,Panchkula ,Tier 2,Married,Freelancing,Yes,Books,Within a day,2,Less Than ₹1000,,,,,Adventure / Crime
6/15/2021 21:21:24,51,Male,Delhi,Delhi,Tier 1,Married,Freelancing,Maybe,Electronics,Within a day,1,Greater than ₹5000,Mobile,,,,
6/15/2021 21:22:13,45,Female,Delhi,New Delhi ,Tier 1,Married,Regular Job,No,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Less than hour,5,Between ₹1000-₹5000,,,,Netflix,
6/15/2021 21:22:40,51,Male,Bihar,Patna,Tier 2,Married,Regular Job,Maybe,Books,Within a day,4,Less Than ₹1000,,,,,Fiction
6/15/2021 21:23:18,50,Male,Uttar Pradesh,Moradabad ,Tier 3,Married,Freelancing,Maybe,Food items ,Less than hour,3,Greater than ₹5000,,,,,
6/15/2021 21:25:14,50,Male,Uttar Pradesh,Moradabad ,Tier 3,Married,Freelancing,Maybe,Food items ,Less than hour,3,Greater than ₹5000,,,,,
6/15/2021 21:29:12,51,Male,Uttar Pradesh,Greater Noida,Tier 2,Married,Freelancing,Maybe,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Couple of Weeks,2,Between ₹1000-₹5000,,,,Netflix,
6/15/2021 21:31:20,19,Female,Delhi,New delhi,Tier 1,Not Married,Student,Maybe,Clothing,Within a day,3,Less Than ₹1000,,,T-shirts / Shirts,,
6/15/2021 21:33:03,19,Female,Delhi,New delhi,Tier 1,Not Married,Student,Maybe,Clothing,Within a day,3,Less Than ₹1000,,,T-shirts / Shirts,,
6/15/2021 21:33:32,20,Male,Uttar Pradesh,Ghaziabad ,Tier 2,Not Married,Student,No,Clothing,Less than hour,4,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 21:35:31,54,Male,Delhi,Delhi,Tier 1,Married,Regular Job,No,Clothing,Less than hour,2,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 21:36:05,52,Male,Haryana,Jind,Tier 3,Married,Regular Job,No,Clothing,Within a day,0,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 21:36:15,52,Male,Punjab,Patiala,Tier 3,Married,Regular Job,Yes,Clothing,Less than hour,1,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 21:38:54,58,Male,Uttar Pradesh,Lucknow,Tier 2,Married,Regular Job,No,Clothing,Within a day,2,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 21:43:12,30,Male,Uttar Pradesh,Lucknow or,Tier 2,Not Married,Regular Job,Yes,Clothing,Within a day,4,Less Than ₹1000,,,T-shirts / Shirts,,
6/15/2021 21:45:13,52,Male,Bihar,,Tier 3,Married,Regular Job,No,Books,Less than hour,3,Less Than ₹1000,,,,,Educational 
6/15/2021 21:51:51,34,Male,Delhi,Delhi,Tier 1,Married,Regular Job,Yes,Food,Within a day,4,Less Than ₹1000,,,,,
6/15/2021 21:52:49,55,Male,Delhi,Delhi,Tier 1,Married,Regular Job,Yes,Clothing,Within a day,5,Less Than ₹1000,,,Lower,,
6/15/2021 21:57:29,52,Male,Rajasthan,Jaipur,Tier 2,Married,Regular Job,Maybe,Clothing,Less than hour,1,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 22:04:26,54,Male,Maharashtra,Mumbai,Tier 1,Married,Regular Job,Maybe,Clothing,Within a day,3,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/15/2021 22:12:01,54,Male,Haryana,Faridabad ,Tier 2,Married,Regular Job,No,Electronics,Within a day,1,Greater than ₹5000,Headphones / Earphones,,,,
6/15/2021 22:15:42,54,Male,Maharashtra,Boisar ,Tier 3,Married,Freelancing,Maybe,Clothing,Less than hour,1,Less Than ₹1000,,,Shoes,,
6/15/2021 22:17:22,56,Male,Delhi,New Delhi,Tier 1,Married,Regular Job,No,Electronics,Couple of Weeks,2,Greater than ₹5000,Headphones / Earphones,,,,
6/15/2021 22:23:09,53,Male,Maharashtra,Mumbai,Tier 1,Married,Freelancing,Yes,Food,Less than hour,5,Between ₹1000-₹5000,,,,,
6/15/2021 22:31:24,27,Male,Uttar Pradesh,Gorakhpur,Tier 2,Not Married,Regular Job,Maybe,Clothing,Within a day,1,Between ₹1000-₹5000,,,Shoes,,
6/15/2021 22:44:19,54,Male,Delhi,Delhi,Tier 1,Married,Regular Job,Yes,Household goods ,Within a day,2,Between ₹1000-₹5000,,,,,
6/15/2021 22:50:42,55,Male,Uttar Pradesh,Lucknow,Tier 2,Married,Regular Job,Yes,"Fashion ( Makeup, cosmetics, Perfume etc )",Less than hour,2,Between ₹1000-₹5000,,Cosmetics,,,
6/15/2021 22:54:03,52,Male,Gujarat,Vadodara ,Tier 2,Married,Regular Job,No,Books,Within a day,2,Between ₹1000-₹5000,,,,,Fiction
6/15/2021 22:56:04,54,Male,Karnataka,Bangalore,Tier 1,Married,Freelancing,Maybe,Electronics,Depends on type of product,4,Between ₹1000-₹5000,All of the above,,,,
